"","","X-squared","",""
-6551.44746,9675.841,2126.11885557858,5.06426909,0.8723125
-6636.32168,8651.14497,36.0628707198313,8.03096427,0.894
-6589.97394,8382.36008,30.361036551663,6.72398674,0.936875
-6666.26063,8537.2656,74.4166106971921,7.3482995,0.9369375
-6662.04738,8927.91799,29.6110025465328,7.17488407,0.8149375
-6639.70094,8678.5603,21.8000804807186,6.90943658,0.9071875
-6630.22393,8491.8853,39.6977261233362,7.0275067,0.976
-6600.26771,8430.79648,23.6963702824187,7.00826964,0.890875
-6530.10018,8370.04409,30.3551752338261,7.52978604,0.82875
-6565.44473,8552.78994,52.7450145792722,7.22444763,0.9336875
-6579.83659,8581.15185,53.6432435092049,7.08255224,0.9356875
-6548.96734,8404.80639,31.4231201178572,6.30897654,0.9254375
-6673.28106,8483.74059,39.2531440798713,7.10738174,0.943
-6570.66274,8259.80196,25.7487931432206,6.32259542,0.9773125
-6636.83762,8710.63328,36.7850982132993,7.0068022,0.9590625
-6679.97074,8882.73613,36.9841147834121,8.18185807,0.8503125
-6637.64411,8705.02378,24.4122186311023,7.08373436,0.9465
-6654.3219,8371.6881,38.3459906086649,7.17156006,0.9506875
-6620.2964,8365.98087,33.9412798120798,7.03579788,0.8836875
-6694.79059,8754.29446,24.8271745041965,6.73953081,0.9261875
-6662.2916,8429.09827,41.7478841993781,6.87018363,0.908125
-6634.05243,8558.65106,48.2567374576936,7.20165193,0.878375
-6621.3633,8455.33836,32.0181279391827,6.9660672,0.864875
-6580.61838,8520.65102,44.3411826774552,6.92416971,0.9629375
-6627.55059,8618.12233,45.2557952303758,7.12140831,0.9648125
-6641.73951,8470.96756,43.981040616019,7.3383499,0.893625
-6581.29202,8602.50134,33.6861672577425,7.30141918,0.9171875
-6642.04476,8903.64317,29.0061944103346,8.16783012,0.854125
-6572.45545,8171.63556,34.5290405127999,6.43114238,0.952875
-6658.23687,8675.08375,37.1311218111559,6.83900707,0.9535625
-6603.74101,8411.17547,31.9126736618146,6.87349834,0.965375
-6534.98759,8522.22251,36.1981262263454,6.95277737,0.9365
-6592.84941,8653.77532,34.9172025329624,7.32977617,0.9005625
-6616.41873,8366.78127,34.7955381242456,6.49005634,0.925125
-6572.28181,8390.44057,35.7965054869632,6.65703395,0.9585
-6649.92124,8581.69346,51.7153629569842,6.84787901,0.9335625
-6607.7723,9024.31927,45.0394406930207,7.44839639,0.9104375
-6648.66166,8571.16234,34.2787156015485,7.07563274,0.8415
-6659.30477,8759.32075,53.6143117934317,6.88436115,0.9518125
-6696.04264,8650.43813,29.1998559508197,7.0462788,0.880875
-6609.19695,8576.14391,36.5003880152002,6.67811607,0.87175
-6631.95383,8797.32556,35.5486742433717,7.62464396,0.9075
-6598.33742,8515.42702,34.1016115074359,6.82166106,0.9130625
-6667.65637,8611.23332,25.1973462673187,7.10459118,0.9440625
-6696.40448,8745.44827,27.8451372031163,7.17469436,0.9546875
-6675.59985,8992.86457,37.3728772640523,7.63331029,0.8644375
-6588.608,8585.53799,24.5360886341739,7.11662736,0.95725
-6674.87224,8639.85486,40.9129457369899,6.92947666,0.949875
-6594.20939,8531.27478,36.0271923989274,6.94532846,0.940375
-6643.21605,8526.02305,40.1769773763301,7.37254201,0.9575625
-6718.63357,8644.258,26.3097602451785,14.6925978,0.90075
-6682.38436,8955.90986,38.4781701132957,7.30366577,0.9225625
-6570.97634,8519.02822,30.6321648477482,7.28446838,0.8343125
-6581.04229,8603.77707,24.3878015072773,7.37909373,0.8669375
-6669.64995,8766.66851,33.4195375056397,7.24502339,0.8593125
-6684.97237,8665.47384,50.0357152808259,6.72881679,0.9625
-6649.60071,8791.30734,43.5170631903992,7.13505779,0.9608125
-6572.49326,8598.71538,24.8859260225743,7.34413976,0.9100625
-6568.04223,8617.2827,33.4103800017378,7.40435839,0.9516875
-6545.32495,8720.16952,62.029062174181,7.13753598,0.968
-6637.16645,8676.4779,49.6091094574398,6.99204083,0.900125
-6611.95795,8646.54604,42.4928398740236,6.68927203,0.9305
-6637.58721,8601.75672,19.3052074467206,7.72759874,0.9440625
-6659.01041,8336.62762,24.5323508178016,6.68512952,0.9351875
-6704.80153,8772.40698,32.8485126831187,7.62453529,0.9504375
-6640.53069,8734.92256,38.7061152219294,6.90865429,0.938875
-6628.56565,8372.75121,36.1284163046753,7.36046558,0.8606875
-6620.38665,8432.43352,45.6839290469071,7.1845782,0.957375
-6668.84525,8719.66189,44.4645753936301,7.38009367,0.933375
-6684.0184,8386.66697,46.8511805248863,6.73777439,0.7969375
-6593.01143,8601.15164,57.4933990889788,6.76683474,0.902
-6658.9901,8668.58532,32.4813832698607,7.34917627,0.943875
-6584.48345,8706.26438,36.27642498236,7.76905782,0.8975
-6641.15244,8782.06475,21.9510329027448,7.32186689,0.925
-6706.21745,8965.26248,61.947822890364,6.78462705,0.9725625
-6554.86732,8275.10985,21.7911389087059,6.57202022,0.9219375
-6657.04173,8619.1675,61.0129860609186,6.64890732,0.964875
-6616.72641,8522.43043,36.3831304198715,7.1251441,0.8223125
-6692.6179,8674.34136,51.7601186283717,7.09041133,0.85275
-6588.14657,8451.03455,37.6002722604896,6.90895877,0.899
-6704.36592,8648.69131,47.5845759858577,6.91672386,0.9374375
-6629.82013,8342.44738,50.0937406561782,6.54048484,0.9070625
-6575.99418,8443.63005,33.3380577535254,6.64376831,0.9321875
-6634.93583,8506.39426,24.3431113619508,6.63594923,0.942625
-6627.26907,8550.53196,29.7827653229653,6.54764577,0.9464375
-6646.44897,8662.85531,36.2800989929332,6.92814706,0.7805
-6693.63137,8822.28695,45.2209151793353,6.7664021,0.9389375
-6653.29375,8935.73812,30.0440807919213,7.040092,0.963125
-6637.04505,8731.94968,39.9952753316068,7.70709573,0.8578125
-6617.49208,8557.93327,38.6588649895288,7.0582246,0.898
-6524.24578,8304.57419,31.553897004341,6.48825529,0.9581875
-6669.19302,8574.03926,29.4157833463737,7.21123684,0.914625
-6575.25538,8199.80143,21.9318045815846,6.97803793,0.8750625
-6548.55248,8390.71861,24.2291212465698,6.61132378,0.9071875
-6616.22703,8471.23218,38.4489724745224,7.4108166,0.94875
-6628.57114,8543.70419,39.6756255147699,7.7399993,0.9563125
-6584.03592,8296.19933,38.3522340872911,6.49757543,0.906625
-6621.247,8690.3178,33.7876889711545,7.33319361,0.9274375
-6681.38381,8396.77285,32.262721847046,7.07493632,0.946125
-6663.26794,8784.19164,28.2165798526665,7.73178912,0.841125
-6636.29684,8766.74429,24.128603107894,7.5609431,0.9175
