"","","X-squared","",""
-4834.95911,2309.37882,224.987697984755,1.71103876,0.8891875
-5491.33652,1816.84522,12.1765710303867,1.8951486,0.853
-5487.47325,1924.4545,46.7371701399714,1.92429058,0.9089375
-5328.46407,1742.20872,11.5018919812851,1.67873348,0.957625
-5442.65901,1863.49174,19.2464254844467,1.8173963,0.8889375
-5289.52551,1688.67549,16.6941588085166,1.74681379,0.9304375
-5541.70636,1918.49857,35.3725819821501,2.03308649,0.9384375
-5407.7642,1671.16321,22.7246365434084,1.93678461,0.8958125
-5338.91885,1683.20047,9.91531483452134,1.63779813,0.9588125
-5424.94926,1732.61581,19.650642228341,1.92897146,0.962
-5402.32857,1771.53694,39.173228908605,1.90108981,0.8515625
-5518.84449,1713.23815,30.0449918299742,1.72579264,0.9050625
-5321.14511,1705.59661,17.1532016196186,1.84810713,0.9209375
-5358.2181,1824.64203,18.0117449011534,1.66558922,0.9651875
-5260.69588,1610.99442,26.5860950498148,1.82843464,0.9365625
-5454.27653,1899.57803,14.7616674373322,1.92842606,0.9056875
-5299.39153,1662.23814,24.8949492174202,1.75729789,0.9445
-5527.36877,1846.19075,17.7879018306498,1.86216786,0.9300625
-5513.65578,1831.2188,17.100802000325,2.05879907,0.9639375
-5354.9062,1875.67623,10.5243251242923,1.89598319,0.9439375
-5272.23497,1768.18158,11.6488077460505,1.70318997,0.88725
-5530.42443,1948.54241,14.9239399616362,1.89087112,0.923625
-5385.01692,1553.11684,20.519166954986,1.8442316,0.9695
-5492.87525,1799.36031,11.0525940732656,1.76786692,0.927375
-5530.9542,2081.59401,17.5693876137535,1.82326499,0.969375
-5363.74879,1772.53869,15.5231314672243,1.7051222,0.8871875
-5470.7829,1872.07469,17.2225072127517,1.89092603,0.961375
-5420.79037,1798.18529,98.821857225368,1.85642488,0.8930625
-5472.92001,1775.64818,12.4590042133074,1.74930964,0.9635625
-5335.22761,1757.38543,19.1831559552965,1.69147001,0.8640625
-5204.01317,1558.0746,16.1565080073178,1.68225452,0.8929375
-5418.70277,1882.9294,25.7229888074419,1.81559867,0.9680625
-5539.02811,1828.52905,29.2305556489384,1.92698751,0.9351875
-5373.91455,1682.93962,27.6046289802656,1.80119219,0.931125
-5340.91489,1693.47773,14.3285256796063,1.74513163,0.8845625
-5486.82623,1803.6601,22.7821462228424,1.86854741,0.9135625
-5486.16669,1926.30815,15.0924527298749,1.95076564,0.9055
-5486.7133,1889.64437,50.0016244385444,1.85287615,0.9181875
-5334.37714,1597.29065,68.2476833155662,1.76399553,0.9301875
-5263.89365,1692.90028,33.8241508648457,1.72617851,0.8859375
-5470.0324,1832.05686,20.4679305265218,1.92808135,0.928
-5408.43578,1841.79834,44.5541524215811,1.77228536,0.895125
-5362.41279,1653.66555,13.2161001202381,1.77593167,0.9315
-5385.35055,1900.76167,33.1865931776537,1.73842925,0.9353125
-5387.65524,1706.15294,15.6750933130702,1.80130029,0.8665625
-5501.48244,1989.86522,16.5476019981736,1.8626002,0.934875
-5485.70328,1792.28466,36.3636605047998,1.91379674,0.9168125
-5328.34957,1842.08854,68.3773931835069,1.86865791,0.9541875
-5539.21496,1943.01149,15.5286582276692,1.9333494,0.9201875
-5376.90238,1777.85495,28.8826781304003,1.77163313,0.95175
-5443.93567,1987.36182,27.5004570976282,1.95858904,0.9463125
-5525.77716,1967.92904,36.0589061063078,1.8901249,0.93675
-5426.37964,1906.72689,67.2329510082081,1.8537918,0.8849375
-5441.43393,1881.91043,54.3996103835062,1.84468049,0.8894375
-5445.96837,1801.07829,24.618937356086,1.81298165,0.95525
-5454.12957,1760.9278,23.7864690248987,1.7557921,0.975875
-5346.90968,1743.3103,27.5316102526295,1.75336619,0.95175
-5420.30868,1810.71545,24.7067200468389,1.80780184,0.975875
-5391.1671,1690.24829,52.9075836862491,1.70222275,0.9748125
-5419.36257,1786.91345,14.1276348432786,1.75439115,0.94225
-5538.53346,1889.56246,23.8045181273746,1.99132803,0.8741875
-5379.59246,1659.55341,13.7371491651693,1.9419924,0.886
-5514.88336,1762.3981,15.3128645312858,1.90592976,0.9609375
-5474.33399,1853.50014,16.0776011677468,1.71758291,0.8758125
-5359.65059,1713.39077,32.2529696053937,1.8666841,0.9675
-5363.45223,1753.62162,25.2916656938612,1.70436621,0.85725
-5406.07144,1851.17415,14.7563530083379,1.88758033,0.9238125
-5471.34295,1810.59003,47.6649466457144,1.94864751,0.9085
-5468.55379,1962.74975,15.5956671685133,1.8947026,0.9023125
-5354.5465,1784.21003,36.3845082798162,1.9207249,0.9758125
-5494.11549,1849.73909,11.5108168679747,1.86023819,0.9346875
-5562.91181,1804.50978,57.4422988419221,1.9604999,0.869625
-5572.66654,2068.72792,25.5164208562186,2.00556776,0.8639375
-5274.22384,1539.66399,11.0001219021342,1.62299855,0.958875
-5409.71001,1842.00176,16.5071735638211,1.89842304,0.956125
-5356.4773,1756.19768,16.2478997497996,1.88230834,0.9165
-5377.45175,1804.52272,37.6466039159707,1.78835112,0.9599375
-5457.16255,1711.3447,57.051458941966,1.76422656,0.927125
-5546.47298,1980.46193,31.3689568590755,1.85979922,0.9569375
-5361.67802,1693.54218,9.64646673524001,1.79468791,0.9208125
-5456.41582,1852.22976,16.0553020245034,1.84691335,0.9331875
-5418.94388,1935.74336,31.797003116057,1.79628848,0.963125
-5462.74109,1886.74227,25.3356397782136,1.86380982,0.961375
-5491.84404,1946.15746,24.2919644045804,1.85576873,0.965875
-5419.52621,1930.00117,19.6322515834871,1.79378195,0.9246875
-5556.04446,1941.47608,30.609791019518,2.0066971,0.9013125
-5414.5956,1865.21177,42.1661544783379,1.87521981,0.961375
-5343.84265,1638.60294,7.84560620472798,1.7279073,0.797375
-5541.98504,1951.64358,38.9694263458341,1.87376396,0.90175
-5490.20501,1911.32963,17.5116977011455,1.78446028,0.90225
-5483.86135,1775.61779,15.442028216807,1.90980421,0.928625
-5358.84154,1757.92025,12.7766882634415,1.76993903,0.8619375
-5523.25404,1814.44257,40.5849274970375,1.95451563,0.8968125
-5508.30773,1886.9144,19.9433050583818,1.77448563,0.934
-5525.05273,1852.64165,19.3971973804102,1.82378528,0.875375
-5399.6307,1856.77615,28.1427856275654,1.7968171,0.90875
-5462.89888,1824.75429,23.3382403186942,1.89347218,0.864375
-5453.01371,1852.52717,11.2448583335315,1.86348998,0.8724375
-5612.5309,1896.40727,9.4500460661537,1.85307177,0.9096875
-5405.06054,1771.87744,51.6075481078979,1.77050573,0.8696875
-5312.4537,1710.70754,13.9748855443576,1.66074435,0.948
