"V1","V2","V3","V4","V5"
"statlong.1.Lboot.gtrg_folder",75,100,20,13,95
"statlong.1.Lboot.jc_folder",100,100,17,58,85
"statlong.10.Lboot.gtrg_folder",73,100,4,16,57
"statlong.10.Lboot.jc_folder",100,100,3,53,58
"statlong.2.Lboot.gtrg_folder",61,100,77,23,84
"statlong.2.Lboot.jc_folder",100,100,74,44,73
"statlong.3.Lboot.gtrg_folder",36,100,57,22,92
"statlong.3.Lboot.jc_folder",100,100,47,62,64
"statlong.4.Lboot.gtrg_folder",70,100,41,21,100
"statlong.4.Lboot.jc_folder",100,100,23,44,91
"statlong.5.Lboot.gtrg_folder",61,100,38,19,69
"statlong.5.Lboot.jc_folder",100,100,37,54,44
"statlong.6.Lboot.gtrg_folder",67,99,79,25,64
"statlong.6.Lboot.jc_folder",100,100,70,51,54
"statlong.7.Lboot.gtrg_folder",70,99,60,15,70
"statlong.7.Lboot.jc_folder",100,100,50,56,31
"statlong.8.Lboot.gtrg_folder",56,100,26,18,87
"statlong.8.Lboot.jc_folder",100,100,13,54,54
"statlong.9.Lboot.gtrg_folder",66,100,20,11,90
"statlong.9.Lboot.jc_folder",100,100,10,53,75
"statshort.1.Lboot.gtrg_folder",48,100,41,49,100
"statshort.1.Lboot.jc_folder",51,100,43,52,100
"statshort.10.Lboot.gtrg_folder",43,99,69,53,100
"statshort.10.Lboot.jc_folder",60,98,55,43,99
"statshort.2.Lboot.gtrg_folder",38,100,85,56,94
"statshort.2.Lboot.jc_folder",54,96,86,48,98
"statshort.3.Lboot.gtrg_folder",50,99,20,44,90
"statshort.3.Lboot.jc_folder",50,93,23,48,98
"statshort.4.Lboot.gtrg_folder",51,100,91,45,98
"statshort.4.Lboot.jc_folder",61,98,88,44,99
"statshort.5.Lboot.gtrg_folder",44,100,8,51,96
"statshort.5.Lboot.jc_folder",41,91,11,59,97
"statshort.6.Lboot.gtrg_folder",44,100,94,57,97
"statshort.6.Lboot.jc_folder",58,98,92,49,98
"statshort.7.Lboot.gtrg_folder",49,99,69,49,71
"statshort.7.Lboot.jc_folder",73,100,51,45,60
"statshort.8.Lboot.gtrg_folder",36,100,69,57,93
"statshort.8.Lboot.jc_folder",51,97,59,53,97
"statshort.9.Lboot.gtrg_folder",53,97,24,47,97
"statshort.9.Lboot.jc_folder",62,99,25,52,98
