"","stationary","tree.length","replicate","estimation.method","estimation.model","multinomial.likelihood.p.value","chisq.p.value","consistency.index.p.value","delta.p.value","tree.length","alpha","ac","ag","at","cg","ct","gt"
"nonstatlong.1.bayes.gtrg_folder","nonstat","long","1","bayes","gtrg","0.0742884790853742","0","0.707770914842663",NA,6.616321895,1.509305,0.06508325,0.2721574,0.1905735,0.101616,0.3120239,0.05081194
"nonstatlong.1.bayes.jc_folder","nonstat","long","1","bayes","jc","0.0667310803158649","0","0.715795848114084",NA,6.6322310085,NA,NA,NA,NA,NA,NA,NA
"nonstatlong.1.ML.gtrg_folder","nonstat","long","1","ML","gtrg","0.000661894627625004","0","0.232448309062813","0.00041598998953607",7.00373095,1.53,0.16184,0.74439,0.31516,0.28236,0.49902,0.07851
"nonstatlong.1.ML.jc_folder","nonstat","long","1","ML","jc",NA,NA,NA,NA,5.04791474,NA,NA,NA,NA,NA,NA,NA
"nonstatlong.10.bayes.gtrg_folder","nonstat","long","10","bayes","gtrg","0.0157231277039704","0","0.97663955115424",NA,7.897161705,1.863323,0.05862197,0.2516647,0.2247318,0.1377142,0.2721547,0.05076328
"nonstatlong.10.bayes.jc_folder","nonstat","long","10","bayes","jc","0.0042859280504588","0","0.955440999531822",NA,7.877646545,NA,NA,NA,NA,NA,NA,NA
"nonstatlong.10.ML.gtrg_folder","nonstat","long","10","ML","gtrg","0.000973627089599138","0","0.874210925563421","0.00733360169741792",8.31347321,1.855,0.1328,0.64554,0.41713,0.3358,0.49332,0.08591
"nonstatlong.10.ML.jc_folder","nonstat","long","10","ML","jc",NA,NA,NA,NA,6.34829145,NA,NA,NA,NA,NA,NA,NA
"nonstatlong.2.bayes.gtrg_folder","nonstat","long","2","bayes","gtrg","0.210898539904361","0","0.311920731366452",NA,7.21609216795,1.4966525,0.057406595,0.2552003,0.16679345,0.165056,0.31010475,0.046625385
"nonstatlong.2.bayes.jc_folder","nonstat","long","2","bayes","jc","0.221938425706488","0","0.242040173468011",NA,7.173923258,NA,NA,NA,NA,NA,NA,NA
"nonstatlong.2.ML.gtrg_folder","nonstat","long","2","ML","gtrg","0.00122815084026939","0","0.0458231071853568","0.00902846329632234",7.2210787,1.729,0.11859,0.64941,0.38188,0.31566,0.50906,0.07134
"nonstatlong.2.ML.jc_folder","nonstat","long","2","ML","jc","0","0","1","0.200291802522043",5.48142299,NA,NA,NA,NA,NA,NA,NA
"nonstatlong.3.bayes.gtrg_folder","nonstat","long","3","bayes","gtrg","0.0120792421712896","0","0.209916402390968",NA,7.003736148,1.182551,0.088618755,0.2982514,0.1222976,0.1079252,0.32672795,0.054541825
"nonstatlong.3.bayes.jc_folder","nonstat","long","3","bayes","jc","0.0428195504157154","0","0.255850230917983",NA,6.9903322952,NA,NA,NA,NA,NA,NA,NA
"nonstatlong.3.ML.gtrg_folder","nonstat","long","3","ML","gtrg","0.000268117831712988","0","0.0570928208070763","1.86991752093579e-06",6.8849272,1.411,0.23235,0.89194,0.33869,0.21536,0.51419,0.08266
"nonstatlong.3.ML.jc_folder","nonstat","long","3","ML","jc","0","0","1","0.0045549935872804",4.80325251,NA,NA,NA,NA,NA,NA,NA
"nonstatlong.4.bayes.gtrg_folder","nonstat","long","4","bayes","gtrg","0.02297875538385","0","0.584064401774846",NA,7.5003263871,1.498875,0.079885215,0.26437415,0.1777996,0.102587,0.32969115,0.048621705
"nonstatlong.4.bayes.jc_folder","nonstat","long","4","bayes","jc","0.0106582851132152","0","0.582027225157385",NA,7.44131242,NA,NA,NA,NA,NA,NA,NA
"nonstatlong.4.ML.gtrg_folder","nonstat","long","4","ML","gtrg","0.000204350679802956","0","0.190175934559645","1.70676122013269e-07",8.00533926,1.496,0.20178,0.80285,0.30964,0.26307,0.49793,0.06772
"nonstatlong.4.ML.jc_folder","nonstat","long","4","ML","jc","0","0","1","0.0630411820198137",5.55404546,NA,NA,NA,NA,NA,NA,NA
"nonstatlong.5.bayes.gtrg_folder","nonstat","long","5","bayes","gtrg","0.00230428851356757","0","0.961788373937849",NA,7.3160425,1.487793,0.06074151,0.2471206,0.2067703,0.1372157,0.3010842,0.04648305
"nonstatlong.5.bayes.jc_folder","nonstat","long","5","bayes","jc","0.00106242423261016","0","0.966513961823282",NA,7.364281995,NA,NA,NA,NA,NA,NA,NA
"nonstatlong.5.ML.gtrg_folder","nonstat","long","5","ML","gtrg","4.81201760660355e-08","0","0.997201537942421","4.5985534313786e-07",7.75802468,1.581,0.15713,0.63058,0.45462,0.25733,0.49369,0.07413
"nonstatlong.5.ML.jc_folder","nonstat","long","5","ML","jc","0","0","1","0.0174932991937957",5.80345107,NA,NA,NA,NA,NA,NA,NA
"nonstatlong.6.bayes.gtrg_folder","nonstat","long","6","bayes","gtrg","0.120186706525873","0","0.608329306273745",NA,7.8875256765,1.6720375,0.07373682,0.25101335,0.1696202,0.17463895,0.28628535,0.046243505
"nonstatlong.6.bayes.jc_folder","nonstat","long","6","bayes","jc","0.104220349235107","0","0.621657979702241",NA,7.917316327,NA,NA,NA,NA,NA,NA,NA
"nonstatlong.6.ML.gtrg_folder","nonstat","long","6","ML","gtrg","0.00028627771190759","0","0.903235992597489","0.0240225819244327",7.50365691,2.25,0.15958,0.56976,0.49672,0.27257,0.48736,0.07782
"nonstatlong.6.ML.jc_folder","nonstat","long","6","ML","jc","0","0","1","0.213024444321865",6.0974152,NA,NA,NA,NA,NA,NA,NA
"nonstatlong.7.bayes.gtrg_folder","nonstat","long","7","bayes","gtrg","0.00212702402395448","0","0.995650291354724",NA,8.29528426,1.662925,0.04662783,0.2462503,0.2387861,0.1154845,0.3129155,0.03563824
"nonstatlong.7.bayes.jc_folder","nonstat","long","7","bayes","jc","0.0014668494411032","0","0.998903725098449",NA,8.258707515,NA,NA,NA,NA,NA,NA,NA
"nonstatlong.7.ML.gtrg_folder","nonstat","long","7","ML","gtrg","2.2586277292902e-10","0","0.99223380231683","4.32214546066678e-05",9.03206442,1.734,0.10031,0.69107,0.51717,0.27972,0.51717,0.00259
"nonstatlong.7.ML.jc_folder","nonstat","long","7","ML","jc","0","0","1","0.0810304279971992",6.33362551,NA,NA,NA,NA,NA,NA,NA
"nonstatlong.8.bayes.gtrg_folder","nonstat","long","8","bayes","gtrg","0.0273108085250535","0","0.786401807364515",NA,6.887603692,1.8066995,0.063291555,0.28302405,0.20223075,0.15899505,0.25612425,0.03912106
"nonstatlong.8.bayes.jc_folder","nonstat","long","8","bayes","jc","0.0129347041973391","0","0.778832125169936",NA,6.916585436,NA,NA,NA,NA,NA,NA,NA
"nonstatlong.8.ML.gtrg_folder","nonstat","long","8","ML","gtrg","0.000658792743553072","0","0.914641558373745","0.00445566176972845",7.1635671,1.861,0.15435,0.64839,0.43298,0.30932,0.45414,0.0744
"nonstatlong.8.ML.jc_folder","nonstat","long","8","ML","jc","0","0","1","0.115011853716215",5.67918104,NA,NA,NA,NA,NA,NA,NA
"nonstatlong.9.bayes.gtrg_folder","nonstat","long","9","bayes","gtrg","0.00448417436386128","0","0.983321989420298",NA,7.133292299,1.800548,0.06853146,0.2972246,0.2004523,0.1168867,0.2680773,0.04457318
"nonstatlong.9.bayes.jc_folder","nonstat","long","9","bayes","jc","0.00543552334887487","0","0.989585802446321",NA,7.1415383388,NA,NA,NA,NA,NA,NA,NA
"nonstatlong.9.ML.gtrg_folder","nonstat","long","9","ML","gtrg","9.80875750462573e-05","0","0.999268923083748","3.13395026041441e-07",7.37583641,1.883,0.17589,0.78727,0.43879,0.24872,0.46192,0.07515
"nonstatlong.9.ML.jc_folder","nonstat","long","9","ML","jc","0","0","1","0.122540006346488",5.80620302,NA,NA,NA,NA,NA,NA,NA
"nonstatshort.1.bayes.gtrg_folder","nonstat","short","1","bayes","gtrg","0.189008169756369","0","0.0425667065445898",NA,3.343164599,0.97024665,0.1028474,0.3609015,0.14632525,0.0480401,0.2976738,0.03909497
"nonstatshort.1.bayes.jc_folder","nonstat","short","1","bayes","jc","0.204153351428913","0","0.0300397817046167",NA,3.3587947723,NA,NA,NA,NA,NA,NA,NA
"nonstatshort.1.ML.gtrg_folder","nonstat","short","1","ML","gtrg","0.899671205605252","0","0.00317989438845245","0.0342966780665713",4.33552434,0.811,0.40241,1.53145,0.25774,0.1698,0.46883,0.05351
"nonstatshort.1.ML.jc_folder","nonstat","short","1","ML","jc","0","0","0.999999999999994","0",1.69485186,NA,NA,NA,NA,NA,NA,NA
"nonstatshort.10.bayes.gtrg_folder","nonstat","short","10","bayes","gtrg","0.0966216343159867","0","0.0386228978293343",NA,3.1733375759,0.96391035,0.11219035,0.28799495,0.15603515,0.041783765,0.32650295,0.079654795
"nonstatshort.10.bayes.jc_folder","nonstat","short","10","bayes","jc","0.154452174946791","0","0.0582235847390752",NA,3.16504464487,NA,NA,NA,NA,NA,NA,NA
"nonstatshort.10.ML.gtrg_folder","nonstat","short","10","ML","gtrg","0.841747368398831","0","0.00019187444697466","0.0526797143361957",5.26886382,0.684,0.4219,1.28365,0.24107,0.15972,0.45655,0.09836
"nonstatshort.10.ML.jc_folder","nonstat","short","10","ML","jc","0","0","0.999999050010411","0",1.56272174,NA,NA,NA,NA,NA,NA,NA
"nonstatshort.2.bayes.gtrg_folder","nonstat","short","2","bayes","gtrg","0.194223566772766","0","0.0267892522054561",NA,3.058893117,0.9458032,0.08459741,0.3028075,0.1731958,0.04723357,0.3215039,0.06765919
"nonstatshort.2.bayes.jc_folder","nonstat","short","2","bayes","jc","0.103194216953251","0","0.00629320717567572",NA,3.05171542985,NA,NA,NA,NA,NA,NA,NA
"nonstatshort.2.ML.gtrg_folder","nonstat","short","2","ML","gtrg","0.80472153554237","0","0.00512746330786262","0.0282396512168476",3.70855311,0.817,0.31395,1.23015,0.27048,0.16118,0.47715,0.0951
"nonstatshort.2.ML.jc_folder","nonstat","short","2","ML","jc","0","0","0.999999591708006","2.88657986402541e-15",1.60488306,NA,NA,NA,NA,NA,NA,NA
"nonstatshort.3.bayes.gtrg_folder","nonstat","short","3","bayes","gtrg","0.442263571990632","0","0.000690192023668823",NA,3.357301764235,1.127779,0.08796928,0.3062205,0.1451746,0.04638111,0.3305056,0.07487774
"nonstatshort.3.bayes.jc_folder","nonstat","short","3","bayes","jc","0.420819192396687","0","0.000162365950431398",NA,3.3487536669,NA,NA,NA,NA,NA,NA,NA
"nonstatshort.3.ML.gtrg_folder","nonstat","short","3","ML","gtrg","0.876579041406275","0","1.14489967251163e-06","0.302107813703801",4.76304651,0.811,0.3522,1.26225,0.20574,0.16908,0.47949,0.09115
"nonstatshort.3.ML.jc_folder","nonstat","short","3","ML","jc","4.38538094726937e-14","0","0.999897571864819","4.44089209850063e-16",1.71106245,NA,NA,NA,NA,NA,NA,NA
"nonstatshort.4.bayes.gtrg_folder","nonstat","short","4","bayes","gtrg","0.377093239610134","0","0.00853347097101087",NA,3.4641239315,0.97372595,0.085569815,0.2176174,0.1510722,0.04469916,0.40113255,0.09886332
"nonstatshort.4.bayes.jc_folder","nonstat","short","4","bayes","jc","0.271448134431407","0","0.00534288512942405",NA,3.429346941,NA,NA,NA,NA,NA,NA,NA
"nonstatshort.4.ML.gtrg_folder","nonstat","short","4","ML","gtrg","0.81742617596192","0","4.1027977822905e-06","0.283335656059191",4.59506915,0.757,0.3296,0.93863,0.20046,0.16611,0.49289,0.1133
"nonstatshort.4.ML.jc_folder","nonstat","short","4","ML","jc","0","0","0.999999981046086","0",1.76361023,NA,NA,NA,NA,NA,NA,NA
