"","stationary","tree.length","replicate","estimation.method","estimation.model","multinomial.likelihood.p.value","chisq.p.value","consistency.index.p.value","delta.p.value","tree.length","alpha","ac","ag","at","cg","ct","gt"
"statlong.1.bayes.gtrg_folder","stat","long","1","bayes","gtrg","0.721743128346728","0.517489491757777","0.905074538057655",NA,7.6841859735,1.1333885,0.096191485,0.33257435,0.060550405,0.087093045,0.35698115,0.0666909
"statlong.1.bayes.jc_folder","stat","long","1","bayes","jc","0.639667391499141","0.457904195385528","0.915931829328169",NA,7.662984789,NA,NA,NA,NA,NA,NA,NA
"statlong.1.ML.gtrg_folder","stat","long","1","ML","gtrg","0.594181074044702","0.453632273510942","0.743109588646122","0.293955281995187",8.09537127,1.104,0.20429,0.68001,0.11463,0.17424,0.67826,0.12218
"statlong.1.ML.jc_folder","stat","long","1","ML","jc","0","0.654590322033208","1","0.181433491787798",5.56400499,NA,NA,NA,NA,NA,NA,NA
"statlong.10.bayes.gtrg_folder","stat","long","10","bayes","gtrg","0.613965634495105","0.461705464915184","0.284266088326489",NA,6.0354882525,1.063268,0.08597044,0.3258689,0.06372889,0.09274377,0.3680164,0.06137647
"statlong.10.bayes.jc_folder","stat","long","10","bayes","jc","0.541273100239477","0.38412833529674","0.365219784379382",NA,6.0403653361,NA,NA,NA,NA,NA,NA,NA
"statlong.10.ML.gtrg_folder","stat","long","10","ML","gtrg","0.475241407061932","0.394690609746586","0.0466386201769856","0.455455791531782",6.21556823,1.063,0.18349,0.65756,0.1164,0.18426,0.69684,0.11254
"statlong.10.ML.jc_folder","stat","long","10","ML","jc","0","0.586335099577467","1","0.00719572975857963",4.52952127,NA,NA,NA,NA,NA,NA,NA
"statlong.2.bayes.gtrg_folder","stat","long","2","bayes","gtrg","0.596289675511361","0.643630011929983","0.886518046860923",NA,6.5845224327,1.1623665,0.082858625,0.30407765,0.07109275,0.079277065,0.3903775,0.07192445
"statlong.2.bayes.jc_folder","stat","long","2","bayes","jc","0.593204484408058","0.694888678483791","0.902246177308847",NA,6.587737338,NA,NA,NA,NA,NA,NA,NA
"statlong.2.ML.gtrg_folder","stat","long","2","ML","gtrg","0.448577215244414","0.670923162687957","0.840385772140577","0.340546383312127",6.90527223,1.153,0.17007,0.61896,0.12764,0.15418,0.70281,0.12428
"statlong.2.ML.jc_folder","stat","long","2","ML","jc","0","0.796535838045389","1","0.0207027274809607",4.83328379,NA,NA,NA,NA,NA,NA,NA
"statlong.3.bayes.gtrg_folder","stat","long","3","bayes","gtrg","0.52867208664981","0.0428314210418198","0.439604291070595",NA,5.1809210239,1.127979,0.09645771,0.3102408,0.0722795,0.07527502,0.3767239,0.06954985
"statlong.3.bayes.jc_folder","stat","long","3","bayes","jc","0.485860669418706","0.0579634922144727","0.437187880889643",NA,5.180226607,NA,NA,NA,NA,NA,NA,NA
"statlong.3.ML.gtrg_folder","stat","long","3","ML","gtrg","0.417101854536812","0.0172403238724685","0.227015153093526","0.404169948752876",5.25641276,1.132,0.20755,0.62011,0.11841,0.15068,0.6515,0.1224
"statlong.3.ML.jc_folder","stat","long","3","ML","jc","0","0.128351408203492","1","0.000696704815264182",4.08604543,NA,NA,NA,NA,NA,NA,NA
"statlong.4.bayes.gtrg_folder","stat","long","4","bayes","gtrg","0.502224170714778","0.870533037856472","0.719294859638318",NA,6.341138055,1.101107,0.09162512,0.2932352,0.0544589,0.08831799,0.4063652,0.06767438
"statlong.4.bayes.jc_folder","stat","long","4","bayes","jc","0.531010898055602","0.914216693055984","0.719825054207096",NA,6.3417838715,NA,NA,NA,NA,NA,NA,NA
"statlong.4.ML.gtrg_folder","stat","long","4","ML","gtrg","0.371660839217668","0.919651752995499","0.533168122599518","0.263515119145004",6.59940358,1.118,0.17649,0.58903,0.10128,0.17389,0.75438,0.13173
"statlong.4.ML.jc_folder","stat","long","4","ML","jc","0","0.960625109866774","1","0.00410918579798158",4.65602552,NA,NA,NA,NA,NA,NA,NA
"statlong.5.bayes.gtrg_folder","stat","long","5","bayes","gtrg","0.423539147510567","0.149506024767319","0.90740079053076",NA,7.23127284,1.0064575,0.0856882,0.3148751,0.072929865,0.082056855,0.3725571,0.069502845
"statlong.5.bayes.jc_folder","stat","long","5","bayes","jc","0.546111983171537","0.126798173618776","0.868608852443284",NA,7.2335927865,NA,NA,NA,NA,NA,NA,NA
"statlong.5.ML.gtrg_folder","stat","long","5","ML","gtrg","0.303473499183408","0.135425456275967","0.737443207763637","0.402265734502774",7.62675226,0.989,0.18497,0.62362,0.1353,0.15362,0.71453,0.13497
"statlong.5.ML.jc_folder","stat","long","5","ML","jc","0","0.332714757702743","1","0.0253702940248591",5.18718667,NA,NA,NA,NA,NA,NA,NA
"statlong.6.bayes.gtrg_folder","stat","long","6","bayes","gtrg","0.911847519704079","0.510263083902564","0.588042928813081",NA,7.664870301,1.0941135,0.091657355,0.3451947,0.05650528,0.09053725,0.3475635,0.06681302
"statlong.6.bayes.jc_folder","stat","long","6","bayes","jc","0.845257977137652","0.406874616977125","0.608598058821945",NA,7.657586242,NA,NA,NA,NA,NA,NA,NA
"statlong.6.ML.gtrg_folder","stat","long","6","ML","gtrg","0.873601378494608","0.544774905547785","0.27898748595195","0.953980836546764",8.07500408,1.084,0.18491,0.64564,0.10684,0.16547,0.691,0.12533
"statlong.6.ML.jc_folder","stat","long","6","ML","jc","0","0.672798227722011","1","0.154565292199169",5.31107648,NA,NA,NA,NA,NA,NA,NA
"statlong.7.bayes.gtrg_folder","stat","long","7","bayes","gtrg","0.458718289300303","0.425530951639274","0.846935758990016",NA,6.25466134575,0.973155,0.08727789,0.3073632,0.0594775,0.08986658,0.3762625,0.07864433
"statlong.7.bayes.jc_folder","stat","long","7","bayes","jc","0.354880005188888","0.338428024775849","0.826306654904085",NA,6.284432029,NA,NA,NA,NA,NA,NA,NA
"statlong.7.ML.gtrg_folder","stat","long","7","ML","gtrg","0.112859495038984","0.380780478320487","0.686432012345737","0.129394707150521",6.55292213,0.973,0.17737,0.57954,0.10702,0.15677,0.69882,0.1465
"statlong.7.ML.jc_folder","stat","long","7","ML","jc","0","0.625498677728129","1","0.0017056652496773",4.71789118,NA,NA,NA,NA,NA,NA,NA
"statlong.8.bayes.gtrg_folder","stat","long","8","bayes","gtrg","0.735190007484901","0.0435374347451746","0.483437511900667",NA,7.91510611,1.160157,0.08943606,0.3202665,0.06307629,0.08781281,0.3694599,0.07103576
"statlong.8.bayes.jc_folder","stat","long","8","bayes","jc","0.729773128554593","0.0489531045003351","0.544652908765919",NA,7.91622148,NA,NA,NA,NA,NA,NA,NA
"statlong.8.ML.gtrg_folder","stat","long","8","ML","gtrg","0.657863503245783","0.0396838471305084","0.101311144361161","0.697752597572724",8.43546445,1.112,0.17757,0.60387,0.11613,0.16412,0.71753,0.13368
"statlong.8.ML.jc_folder","stat","long","8","ML","jc","0","0.197035212545937","1","0.23262923580727",5.6715181,NA,NA,NA,NA,NA,NA,NA
"statlong.9.bayes.gtrg_folder","stat","long","9","bayes","gtrg","0.69147916147416","0.680879195375166","0.804444004620517",NA,7.000621635,1.004365,0.1004546,0.3295732,0.05667357,0.0825647,0.3645168,0.06449124
"statlong.9.bayes.jc_folder","stat","long","9","bayes","jc","0.754167916633597","0.702144249140081","0.786336846005437",NA,7.008813065,NA,NA,NA,NA,NA,NA,NA
"statlong.9.ML.gtrg_folder","stat","long","9","ML","gtrg","0.657213895980442","0.690083685546996","0.681409889709445","0.568913168636535",7.36016331,1.003,0.21856,0.61417,0.10642,0.15034,0.688,0.11571
"statlong.9.ML.jc_folder","stat","long","9","ML","jc","0","0.767183493351502","1","0.0505527291633328",4.95989165,NA,NA,NA,NA,NA,NA,NA
"statshort.1.bayes.gtrg_folder","stat","short","1","bayes","gtrg","0.000706662894954913","0.926552329977389","0.161325062353152",NA,0.08607523367,0.1820746,0.06435204,0.2621879,0.06774812,0.03789606,0.4443723,0.0821308
"statshort.1.bayes.jc_folder","stat","short","1","bayes","jc","0.216376503215571","0.856521773495232","0.582544382889749",NA,0.97192954,NA,NA,NA,NA,NA,NA,NA
"statshort.1.ML.gtrg_folder","stat","short","1","ML","gtrg","0.485751763855537","0.682978436735608","0.329647383755429","0.154872812026831",0.04245003,0.194,0.12405,0.50198,0.12513,0.04665,0.95785,0.16109
"statshort.1.ML.jc_folder","stat","short","1","ML","jc","4.39258282414201e-07","0.89125629169126","1","7.27795246291407e-09",0.8883044,NA,NA,NA,NA,NA,NA,NA
"statshort.10.bayes.gtrg_folder","stat","short","10","bayes","gtrg","5.69507663523705e-05","0.887226639100112","0.582840551976914",NA,0.068065452667,0.1731986,0.1032322,0.2391095,0.05248118,0.08666233,0.3991024,0.06825725
"statshort.10.bayes.jc_folder","stat","short","10","bayes","jc","0.140799950561319","0.308348511757395","0.216510164331433",NA,0.65695854375,NA,NA,NA,NA,NA,NA,NA
"statshort.10.ML.gtrg_folder","stat","short","10","ML","gtrg",NA,NA,NA,NA,0.02622521,0.029,0.20837,0.57468,0.07091,0.14865,0.82024,0.08027
"statshort.10.ML.jc_folder","stat","short","10","ML","jc","3.72323767483529e-06","0.271130460938003","1","1.69642078162724e-13",0.57457838,NA,NA,NA,NA,NA,NA,NA
"statshort.2.bayes.gtrg_folder","stat","short","2","bayes","gtrg","0.00153424656763212","0.723825335750814","0.408578651143503",NA,0.09454752017,0.4281867,0.132621,0.3339051,0.02852138,0.05244055,0.3256241,0.1138552
"statshort.2.bayes.jc_folder","stat","short","2","bayes","jc","0.220495995530865","0.509032197674204","0.608716750154506",NA,0.98110589105,NA,NA,NA,NA,NA,NA,NA
"statshort.2.ML.gtrg_folder","stat","short","2","ML","gtrg","0.588610038524763","0.225647497329695","0.865490565829862","0.263977434627699",0.05137351,0.911,0.30888,0.57428,0.03586,0.10254,0.65826,0.22316
"statshort.2.ML.jc_folder","stat","short","2","ML","jc","4.11972077440925e-06","0.554287648116222","1","7.71440467062234e-10",0.88505441,NA,NA,NA,NA,NA,NA,NA
"statshort.3.bayes.gtrg_folder","stat","short","3","bayes","gtrg","6.8139939097267e-05","0.96947754195049","0.0908397088818055",NA,0.0725797515,0.1750858,0.04833427,0.2576606,0.07328174,0.1301313,0.347609,0.0933919
"statshort.3.bayes.jc_folder","stat","short","3","bayes","jc","0.215970593060299","0.926614092968045","0.382533829223575",NA,0.8723234657,NA,NA,NA,NA,NA,NA,NA
"statshort.3.ML.gtrg_folder","stat","short","3","ML","gtrg",NA,NA,NA,NA,0.03023141,0.033,0.062,0.60145,0.10841,0.26253,0.73834,0.16298
"statshort.3.ML.jc_folder","stat","short","3","ML","jc","1.55723010042408e-08","0.932430988006147","1","3.24837490239815e-10",0.7715553,NA,NA,NA,NA,NA,NA,NA
"statshort.4.bayes.gtrg_folder","stat","short","4","bayes","gtrg","0.00104221419864625","0.61808846837042","0.0449244073337514",NA,0.082624376267,0.1560958,0.09703414,0.4467974,0.04276759,0.05357355,0.220666,0.1147146
"statshort.4.bayes.jc_folder","stat","short","4","bayes","jc","0.197954496414369","0.614375217428258","0.397447871642859",NA,0.83519216372,NA,NA,NA,NA,NA,NA,NA
"statshort.4.ML.gtrg_folder","stat","short","4","ML","gtrg","0.522392050011683","0.0490059290943278","0.121401298763767","0.0468557583315725",0.03822312,0.24,0.21454,0.97131,0.05186,0.10151,0.46042,0.19851
"statshort.4.ML.jc_folder","stat","short","4","ML","jc","9.24634261156854e-07","0.546802925551536","1","8.26319013214061e-10",0.75113386,NA,NA,NA,NA,NA,NA,NA
"statshort.5.bayes.gtrg_folder","stat","short","5","bayes","gtrg","0.00359498755146614","0.866339852728768","0.122487604727574",NA,0.081479104314,0.5823759,0.1556982,0.3000518,0.0387165,0.08803531,0.3201184,0.06449844
"statshort.5.bayes.jc_folder","stat","short","5","bayes","jc","0.311331914083861","0.214889470145808","0.503903648053793",NA,0.78456752075,NA,NA,NA,NA,NA,NA,NA
"statshort.5.ML.gtrg_folder","stat","short","5","ML","gtrg","0.607906987108884","0.826391579451947","0.294230602060625","0.24515623596985",0.04026991,76.629,0.37629,0.59317,0.05366,0.16813,0.63554,0.10756
"statshort.5.ML.jc_folder","stat","short","5","ML","jc","2.20115429250267e-05","0.238469272407486","1","7.0661517193038e-08",0.70776641,NA,NA,NA,NA,NA,NA,NA
"statshort.6.bayes.gtrg_folder","stat","short","6","bayes","gtrg","0.000477421141568013","0.761424275875595","0.212159371471928",NA,0.08004980345,0.1532352,0.05119408,0.4301101,0.03551276,0.0752309,0.2553117,0.1312936
"statshort.6.bayes.jc_folder","stat","short","6","bayes","jc","0.253903646287372","0.301455208607395","0.10850200177865",NA,0.878561681,NA,NA,NA,NA,NA,NA,NA
"statshort.6.ML.gtrg_folder","stat","short","6","ML","gtrg","0.548816234119711","0.0317743452453269","0.585714000496865","0.0873736133847798",0.03456923,0.144,0.11114,0.85957,0.05358,0.112,0.54371,0.26581
"statshort.6.ML.jc_folder","stat","short","6","ML","jc","1.07595286369389e-06","0.243865163301212","1","1.80709003316792e-10",0.79309429,NA,NA,NA,NA,NA,NA,NA
"statshort.7.bayes.gtrg_folder","stat","short","7","bayes","gtrg","0.00102004711506243","0.829031631672961","0.385777434383229",NA,0.110166074029,0.138877,0.1868373,0.294058,0.05333049,0.03724643,0.3521567,0.05699484
"statshort.7.bayes.jc_folder","stat","short","7","bayes","jc","0.198787959904249","0.638662265997349","0.282486328273025",NA,0.68181691295,NA,NA,NA,NA,NA,NA,NA
"statshort.7.ML.gtrg_folder","stat","short","7","ML","gtrg","0.579652965573395","0.464916421460569","0.674391123466455","0.254350085851639",0.06294599,0.157,0.37194,0.6449,0.08686,0.06272,0.66865,0.08999
"statshort.7.ML.jc_folder","stat","short","7","ML","jc","0.00340442126554941","0.624580119704127","1","7.58869019956698e-07",0.61728405,NA,NA,NA,NA,NA,NA,NA
"statshort.8.bayes.gtrg_folder","stat","short","8","bayes","gtrg","0.000121823278527611","0.961305181250724","0.520110621018697",NA,0.076976562156,0.1374414,0.03403883,0.362763,0.1391823,0.1543799,0.2068491,0.07032331
"statshort.8.bayes.jc_folder","stat","short","8","bayes","jc","0.157419258382996","0.808571574130733","0.398883380979833",NA,0.797739555,NA,NA,NA,NA,NA,NA,NA
"statshort.8.ML.gtrg_folder","stat","short","8","ML","gtrg",NA,NA,NA,NA,0.03343527,0.036,0.05097,0.69905,0.26587,0.26581,0.42458,0.068
"statshort.8.ML.jc_folder","stat","short","8","ML","jc","1.17695200718693e-06","0.781485761647434","1","3.36031202863296e-12",0.71588543,NA,NA,NA,NA,NA,NA,NA
"statshort.9.bayes.gtrg_folder","stat","short","9","bayes","gtrg","0.000362849448147129","0.966051815825722","0.278489173082389",NA,0.0949144537,0.08028938,0.06418742,0.2271576,0.09882668,0.1158187,0.4028615,0.06110837
"statshort.9.bayes.jc_folder","stat","short","9","bayes","jc","0.139207301213484","0.834552279242871","0.080026865709251",NA,0.73346021618,NA,NA,NA,NA,NA,NA,NA
